측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
202001012000,101,서북권,111181,은평구,44,40,30,0.001,0.04,0.7,0.003
202001012000,101,서북권,111191,서대문구,46,40,24,0.002,0.041,1.2,0.008
202001012100,100,도심권,111123,종로구,46,41,33,0.002,0.048,0.9,0.004
202001012100,100,도심권,111131,용산구,40,34,33,0.002,0.035,0.6,0.003
202001012100,100,도심권,111121,중구,45,41,39,0.002,0.044,0.8,0.003
202001012100,101,서북권,111181,은평구,47,41,27,0.001,0.039,0.7,0.003
202001012100,101,서북권,111191,서대문구,51,42,27,0.002,0.043,1.3,0.009
202001012200,100,도심권,111123,종로구,45,42,34,0.002,0.046,0.9,0.003
202001012200,100,도심권,111131,용산구,40,36,32,0.002,0.035,0.7,0.003
202001012200,100,도심권,111121,중구,48,42,39,0.002,0.044,0.9,0.004
202001012200,101,서북권,111181,은평구,41,42,27,0.001,0.039,0.8,0.003
202001012200,101,서북권,111191,서대문구,48,44,28,0.002,0.047,1.1,0.004
202001012300,100,도심권,111123,종로구,47,43,35,0.002,0.047,0.9,0.004
202001012300,100,도심권,111131,용산구,40,37,34,0.002,0.036,0.8,0.003
202001012300,100,도심권,111121,중구,47,44,40,0.002,0.043,0.8,0.003
202001012300,101,서북권,111181,은평구,41,42,30,0.001,0.038,0.9,0.003
202001012300,101,서북권,111191,서대문구,50,45,25,0.002,0.044,1.1,0.004
202001020000,100,도심권,111123,종로구,45,44,33,0.002,0.047,1,0.004
202001020000,100,도심권,111131,용산구,41,38,36,0.002,0.04,0.9,0.003
202001020000,100,도심권,111121,중구,48,45,37,0.002,0.043,0.9,0.004
202001020000,101,서북권,111181,은평구,46,43,28,0.001,0.037,0.8,0.003
202001020000,101,서북권,111191,서대문구,48,46,28,0.002,0.044,1,0.003
202001020100,100,도심권,111123,종로구,48,45,38,0.002,0.044,0.9,0.003
202001020100,100,도심권,111131,용산구,45,39,37,0.002,0.036,0.8,0.003
202001020100,100,도심권,111121,중구,47,45,39,0.001,0.042,0.8,0.003
202001020100,101,서북권,111181,은평구,42,42,28,0.001,0.038,0.9,0.003
202001020100,101,서북권,111191,서대문구,44,46,26,0.002,0.042,1,0.003
202001020200,100,도심권,111123,종로구,45,45,35,0.002,0.041,0.8,0.004
202001020200,100,도심권,111131,용산구,40,40,36,0.002,0.033,0.6,0.003
202001020200,100,도심권,111121,중구,45,45,39,0.001,0.04,0.8,0.003
202001020200,101,서북권,111181,은평구,44,43,30,0.001,0.037,0.8,0.003
202001020200,101,서북권,111191,서대문구,46,46,25,0.003,0.041,1,0.003
202001020300,100,도심권,111123,종로구,44,45,36,0.002,0.041,0.9,0.004
202001020300,100,도심권,111131,용산구,40,40,36,0.002,0.034,0.7,0.003
202001020300,100,도심권,111121,중구,43,45,38,0.002,0.038,0.7,0.003
202001020300,101,서북권,111181,은평구,48,44,29,0.001,0.035,0.8,0.003
202001020300,101,서북권,111191,서대문구,47,46,25,0.002,0.037,0.8,0.003
202001020400,100,도심권,111123,종로구,43,45,33,0.001,0.04,0.7,0.003
202001020400,100,도심권,111131,용산구,40,40,36,0.002,0.035,0.7,0.003
